catalogNumber;genus;specificEpithet;scientificNameAuthorship;acceptedNameUsage;family;countryCode;locality;year;recordedBy;Image GUID
Sheet-0002377;Rubus;tereticaulis;P.J. Müller;Rubus tereticaulis P. J. Müll.;Rosaceae;CH;Schnottwil, allg.;1972;Bangerter Hermann;8da085a7-8704-4a8b-acb6-8a5e208f9c3c
Sheet-0002378;Rubus;tereticaulis;P.J. Müller;Rubus tereticaulis P. J. Müll.;Rosaceae;CH;Zuchwil, allg.;1964;Bangerter Hermann;7e16e85f-049d-4f00-a98e-39a3d93db841
Sheet-0002379;Rubus;tereticaulis;P.J. Müller;Rubus tereticaulis P. J. Müll.;Rosaceae;CH;Schönenwerd, allg.;1971;Bangerter Hermann;3837a45f-61e1-40c0-93c6-993fd9968fa5
Sheet-0002380;Rubus;tereticaulis;P.J. Müller;Rubus tereticaulis P. J. Müll.;Rosaceae;CH;Schönenwerd, allg.;1971;Bangerter Hermann;7f3880e9-545c-4650-a8b3-8093aa7e6b63
Sheet-0002381;Rubus;tereticaulis;P.J. Müller;Rubus tereticaulis P. J. Müll.;Rosaceae;CH;Schönenwerd, allg.;1971;Bangerter Hermann;56565043-77c7-475b-8b6d-8b6560153f7f
Sheet-0002382;Rubus;tereticaulis;P.J. Müller;Rubus tereticaulis P. J. Müll.;Rosaceae;CH;Schönenwerd, allg.;1971;Bangerter Hermann;c5f539c3-1931-4006-a4de-9bd0c34e4b80
Sheet-0002383;Rubus;tereticaulis;P.J. Müller;Rubus tereticaulis P. J. Müll.;Rosaceae;CH;Mühledorf, allg.;1970;Bangerter Hermann;9316ac62-16f0-456b-958f-a68e899d685b
Sheet-0002384;Rubus;tereticaulis;P.J. Müller;Rubus tereticaulis P. J. Müll.;Rosaceae;CH;Schnottwil, allg.;1969;Bangerter Hermann;b65da741-2332-4bc2-9607-7d9ac379de54
Sheet-0002385;Rubus;tereticaulis;P.J. Müller;Rubus tereticaulis P. J. Müll.;Rosaceae;CH;Egerkingen, allg.;1973;Bangerter Hermann;302b40eb-1551-4aad-9baa-87d0c0be57ca
Sheet-0002386;Rubus;tereticaulis;P.J. Müller;Rubus tereticaulis P. J. Müll.;Rosaceae;CH;Olten, allg.;1968;Bangerter Hermann;9f39d9b0-8dfb-49d2-9102-69df430ea89f
Sheet-0002388;Rubus;tereticaulis;P.J. Müller;Rubus tereticaulis P. J. Müll.;Rosaceae;CH;Däniken, allg.;1967;Bangerter Hermann;d7314a94-abbe-4708-8f03-2be71cd0619a
Sheet-0002387;Rubus;tereticaulis;P.J. Müller;Rubus tereticaulis P. J. Müll.;Rosaceae;CH;Däniken, allg.;1967;Bangerter Hermann;17fffcf9-af73-42dc-a821-0d11bbdc0bf1
Sheet-0002389;Rubus;tereticaulis;P.J. Müller;Rubus tereticaulis P. J. Müll.;Rosaceae;CH;Schnottwil, allg.;1968;Bangerter Hermann;ddfc7a4e-6516-4183-962e-1a0153d7eacc
Sheet-0002390;Rubus;tereticaulis;P.J. Müller;Rubus tereticaulis P. J. Müll.;Rosaceae;CH;Gunzgen, allg.;1974;Bangerter Hermann;dfbbc93a-1e59-4c13-ab00-16f597cafc78
Sheet-0002391;Rubus;tereticaulis;P.J. Müller;Rubus tereticaulis P. J. Müll.;Rosaceae;CH;Gunzgen, allg.;1974;Bangerter Hermann;40aa72dc-2c1a-4675-9a1e-0217d76336a3
Sheet-0002392;Rubus;tereticaulis;P.J. Müller;Rubus tereticaulis P. J. Müll.;Rosaceae;CH;Gunzgen, allg.;1974;Bangerter Hermann;e309b5ea-41ab-4204-8720-b0dad84430e2
Sheet-0002393;Rubus;tereticaulis;P.J. Müller;Rubus tereticaulis P. J. Müll.;Rosaceae;CH;Schönenwerd, allg.;1974;Bangerter Hermann;d05627b4-7e43-426c-a2a8-3301369cd872
Sheet-0002394;Rubus;tereticaulis;P.J. Müller;Rubus tereticaulis P. J. Müll.;Rosaceae;CH;Gunzgen, allg.;1974;Bangerter Hermann;79c7c2eb-656b-4d79-9071-fe0cc6cdf091
Sheet-0002395;Rubus;tereticaulis;P.J. Müller;Rubus tereticaulis P. J. Müll.;Rosaceae;CH;Schönenwerd, allg.;1974;Bangerter Hermann;174421ad-3762-451b-aac6-93d4d55699e0
Sheet-0002396;Rubus;tereticaulis;P.J. Müller;Rubus tereticaulis P. J. Müll.;Rosaceae;CH;Gunzgen, allg.;1974;Bangerter Hermann;f561de26-e434-44ec-b83d-fdeef5720257
Sheet-0002397;Rubus;tereticaulis;P.J. Müller;Rubus tereticaulis P. J. Müll.;Rosaceae;CH;Egerkingen, allg.;1973;Bangerter Hermann;5df1b27d-26a6-4ec9-8ee9-e9cdb3db2835
Sheet-0002398;Rubus;tereticaulis;P.J. Müller;Rubus tereticaulis P. J. Müll.;Rosaceae;CH;Messen, allg.;1974;Bangerter Hermann;612c7ef6-e302-41e2-a3ad-03a3b4658d11
Sheet-0002399;Rubus;tereticaulis;P.J. Müller;Rubus tereticaulis P. J. Müll.;Rosaceae;CH;Egerkingen, allg.;1973;Bangerter Hermann;c2c6253d-313e-4c5a-8f3b-4e06b3e50250
Sheet-0002400;Rubus;tereticaulis;P.J. Müller;Rubus tereticaulis P. J. Müll.;Rosaceae;CH;Hägendorf, allg.;1973;Bangerter Hermann;339845d1-5ab7-47f1-865b-301d3281e6c9
Sheet-0002401;Rubus;tereticaulis;P.J. Müller;Rubus tereticaulis P. J. Müll.;Rosaceae;CH;Biberist, allg.;1974;Bangerter Hermann;8bbf899c-2631-4c88-8066-0b1ce6cc438f
Sheet-0002402;Rubus;tereticaulis;P.J. Müller;Rubus tereticaulis P. J. Müll.;Rosaceae;CH;Hägendorf, allg.;1973;Bangerter Hermann;7aec6791-f063-4dd4-a035-407fea893422
Sheet-0002403;Rubus;tereticaulis;P.J. Müller;Rubus tereticaulis P. J. Müll.;Rosaceae;CH;Egerkingen, allg.;1973;Bangerter Hermann;8a7cc5ba-3812-4709-90b0-ccb40f8b864b
